num fastfair pgm alex xindex learngroup
0 0.967182 1.871130 1.663120 2.426480 2.828560
0.01 0.844973 1.234290 0.784214 1.529510 3.041420
0.02 0.668525 0.949082 0.797429 1.570100 3.234770
0.03 0.556172 1.261890 0.665328 1.634100 2.864050
0.04 0.546653 1.076150 0.753172 1.662650 2.859800
0.05 0.546812 0.926412 0.425556 1.708040 3.107860
0.06 0.538599 1.676660 0.877048 1.683260 2.746310
0.07 0.559295 0.921829 0.447404 1.701220 2.583550
0.08 0.547123 0.987177 1.033960 1.712420 2.853030
0.09 0.583106 1.270860 0.466145 1.757420 2.542990
0.1 0.576179 0.926451 0.476411 1.744110 2.464330
0.11 0.587549 1.031290 1.272690 1.787570 2.505390
0.12 0.572570 0.918136 0.494033 1.797090 2.646080
0.13 0.592665 2.560250 0.486159 1.191540 2.908960
0.14 0.607948 1.001570 0.497105 1.090030 2.563070
0.15 0.616369 0.951150 1.569690 1.092900 2.559420
0.16 0.613603 1.179590 0.506583 1.095150 2.587260
0.17 0.614373 0.910086 0.509848 1.093370 2.787920
0.18 0.608339 1.075650 0.518314 1.082100 2.546320
0.19 0.613112 1.450050 0.525064 1.080800 2.527280
0.2 0.637259 0.555831 1.881830 1.068240 2.534140
0.21 0.630786 0.591328 0.491255 1.065750 2.480270
0.22 0.626831 0.729987 0.498389 1.068850 2.442890
0.23 0.618322 0.545536 0.488609 1.049370 2.354350
0.24 0.630662 0.609806 0.514877 1.060490 2.477250
0.25 0.624796 0.536534 0.542736 1.065920 2.355210
0.26 0.626095 3.098120 0.489616 1.066650 2.727340
0.27 0.646701 0.682901 2.349010 1.072140 2.519940
0.28 0.644622 0.557327 0.440122 1.075180 2.591200
0.29 0.645794 0.703484 0.446852 1.095400 3.213100
0.3 0.646422 0.548678 0.457817 1.083850 2.773520
0.31 0.644089 0.632750 0.460751 1.093920 2.678740
0.32 0.631212 0.907667 0.477060 1.080380 2.527770
0.33 0.645550 0.556482 0.476790 1.078490 2.586030
0.34 0.651965 0.582973 0.489531 1.088640 2.718570
0.35 0.650262 0.547535 0.504293 1.097930 2.391940
0.36 0.646254 0.726510 1.936990 1.121850 2.558510
0.37 0.654167 0.595416 0.274039 1.131630 2.602270
0.38 0.656788 0.553811 0.278922 1.123510 2.552150
0.39 0.640192 1.402530 0.275432 1.126220 2.558520
0.4 0.437047 0.624044 0.277644 1.129380 2.577980
0.41 0.431861 0.545420 0.284652 1.136700 2.596660
0.42 0.430465 0.683304 0.284935 1.136000 2.556790
0.43 0.434672 0.558080 0.288614 1.133020 2.723230
0.44 0.431433 0.601567 0.302303 1.141600 2.601420
0.45 0.431814 0.919404 0.313261 1.150990 2.523180
0.46 0.449921 0.538287 0.316481 1.158140 2.510800
0.47 0.445168 0.603470 0.324358 1.156040 2.527080
0.48 0.448899 0.545030 2.483010 1.165400 2.618390
0.49 0.441333 0.725130 0.271913 1.159010 2.601340
0.5 0.450279 0.593844 0.271436 1.174360 3.527570
0.51 0.444818 0.535198 0.271536 1.185320 2.876130
0.52 0.450866 4.918370 0.274992 1.189750 2.607180
0.53 0.446387 0.591096 0.278505 1.188210 2.613090
0.54 0.441255 0.640761 0.280987 1.194060 2.696370
0.55 0.432143 0.692883 0.280660 1.181720 2.678080
0.56 0.432241 0.557984 0.297897 1.192400 2.642290
0.57 0.428503 0.595566 0.314967 1.183800 2.508150
0.58 0.417005 0.935147 0.323694 1.193450 2.563180
0.59 0.442399 0.542734 0.287148 1.194050 2.623880
0.6 0.449984 0.592159 0.293709 1.223540 2.747190
0.61 0.439621 0.558354 0.296566 1.217120 2.545930
0.62 0.433373 0.691524 0.323071 1.209590 2.483820
0.63 0.438381 0.630352 0.331739 1.216530 2.603330
0.64 0.432332 0.541195 0.339575 1.214680 2.571040
0.65 0.436916 1.326920 6.184950 1.221080 2.516720
0.66 0.448884 0.543558 0.313312 1.239500 2.605090
0.67 0.446360 0.632404 0.307039 1.227530 2.597410
0.68 0.442965 0.687679 0.308842 1.234410 2.754500
0.69 0.450959 0.545805 0.310056 1.226040 2.500050
0.7 0.448654 0.607157 0.315218 1.231970 2.533980
0.71 0.453831 0.547104 0.321096 1.236070 2.480960
0.72 0.452769 0.922338 0.299963 1.232960 2.669120
0.73 0.465029 0.593803 0.305098 1.249970 2.670820
0.74 0.452271 0.557691 0.300314 1.241190 2.667500
0.75 0.454635 0.691390 0.302756 1.235740 2.660170
0.76 0.459804 0.537051 0.315008 1.253700 2.564200
0.77 0.462649 0.629839 0.318026 1.263220 2.766420
0.78 0.463070 2.790560 0.324809 1.264980 2.565450
0.79 0.468710 0.603800 0.322483 1.273690 2.469430
0.8 0.465538 0.615505 0.319322 1.993650 2.561880
0.81 0.463921 0.722475 0.333211 1.457190 2.492650
0.82 0.470283 0.545209 0.337705 1.454230 2.433370
0.83 0.470572 0.606133 0.354280 1.530810 2.498110
0.84 0.468027 0.546709 0.360387 1.528200 2.387740
0.85 0.466724 0.893535 0.378007 1.433430 2.496820
0.86 0.484995 0.625577 0.366305 1.388990 2.757440
0.87 0.474749 0.544999 11.552600 1.368100 2.441860
0.88 0.475741 0.699433 0.309343 1.357600 2.423310
0.89 0.478834 0.541023 0.312823 1.547290 2.505400
0.9 0.482656 0.627995 0.313376 1.649470 2.451570
0.91 0.485669 1.286780 0.313849 1.653730 2.488010
0.92 0.482026 0.555108 0.307929 1.670630 2.514490
0.93 0.478747 0.584378 0.306838 1.669690 2.593700
0.94 0.480575 0.546652 0.295820 1.661880 2.653690
0.95 0.487351 0.740174 0.297307 1.633030 2.810800
0.96 0.502805 0.593391 0.303599 1.691640 2.478200
0.97 0.506686 0.557670 0.322136 1.899770 2.489760
0.98 0.489659 0.884683 0.319425 1.900130 2.467810
0.99 0.497452 0.623952 0.326547 1.970240 2.481400
1 0.490899 0.543168 0.311230 1.884270 2.612030
1.01 0.491985 0.697348 0.307825 1.737150 2.520460
1.02 0.505895 0.536694 0.308797 1.564160 4.626010
1.03 0.505113 0.591738 0.318362 1.520010 2.887170
1.04 0.511413 9.291830 0.322104 1.507660 2.678210
1.05 0.496651 0.593411 0.308508 1.470930 2.748560
1.06 0.488417 0.617690 0.307216 1.489170 2.640360
1.07 0.485230 0.547384 0.306731 1.499940 2.590750
1.08 0.490899 0.729541 0.310344 1.462400 2.683650
1.09 0.496988 0.597217 0.311249 1.459660 2.612080
1.1 0.499231 0.538281 0.317333 1.463160 2.583630
1.11 0.489314 1.008910 0.318785 1.450760 2.726400
1.12 0.491541 0.543396 0.322246 1.465680 2.905610
1.13 0.492792 0.630042 0.338330 1.486620 2.665330
1.14 0.492718 0.693893 0.356941 1.475050 2.722140
1.15 0.502768 0.554592 0.362495 1.487290 2.650080
1.16 0.499192 0.595005 5.503840 1.480640 2.619640
1.17 0.496418 1.442000 0.326664 1.481700 2.602390
1.18 0.499341 0.544735 0.320310 1.467940 2.608880
1.19 0.512537 0.580851 0.317909 1.510230 2.668180
1.2 0.513001 0.560361 0.321841 1.572090 2.667090
1.21 0.519438 0.689458 0.337429 1.550330 2.837650
1.22 0.526360 0.632204 0.336802 1.558480 2.565620
1.23 0.530853 0.542850 0.336316 1.567860 2.656280
1.24 0.521697 0.901147 0.330342 1.547640 2.628620
1.25 0.506098 0.542630 0.315875 1.500910 2.812530
1.26 0.513787 0.631093 0.320703 1.572130 2.740790
1.27 0.522388 0.692178 0.322922 1.623110 2.765720
1.28 0.518295 0.536437 0.320580 1.582580 2.677340
1.29 0.523771 0.609388 0.327035 1.603230 2.854010
1.3 0.521171 0.544348 0.319777 1.614390 2.767500
1.31 0.524090 2.674860 0.325831 1.604980 2.744880
1.32 0.529493 0.636652 0.326999 1.631310 2.718980
1.33 0.548612 0.559391 0.327407 1.610100 2.657850
1.34 0.541693 0.694899 0.326776 1.609890 2.634170
1.35 0.529623 0.633012 0.329430 1.615260 2.677580
1.36 0.530606 0.536599 0.330078 1.609070 2.676320
1.37 0.526053 0.896937 0.324303 1.618540 2.630890
1.38 0.521938 0.555349 0.317265 1.625530 2.917730
1.39 0.527963 0.595258 0.319204 1.639030 2.675760
1.4 0.526597 0.728342 0.317628 1.645090 2.706750
1.41 0.524482 0.547694 0.321918 1.633410 2.714580
1.42 0.527126 0.606787 0.321668 1.634490 2.613090
1.43 0.522974 0.550164 0.327671 1.649090 2.616800
1.44 0.521413 1.336520 0.323007 1.614020 2.764510
1.45 0.529836 0.582098 0.320871 1.652130 2.708830
1.46 0.531131 0.547662 0.321517 1.669400 2.581180
1.47 0.565668 0.702238 0.324771 1.668440 2.911600
1.48 0.537351 0.547276 0.328056 1.660610 2.648890
1.49 0.542794 0.623047 0.332142 1.679940 2.706040
1.5 0.536660 0.888524 0.334866 1.674620 2.677550
1.51 0.532139 0.556499 0.328761 1.624670 2.672650
1.52 0.538468 0.591425 0.342487 1.692220 2.778730
1.53 0.547410 0.538306 0.344151 1.722920 2.715990
1.54 0.535781 0.740644 13.694799 1.652610 2.747240
1.55 0.541564 0.592576 0.466660 1.667640 2.951770
1.56 0.543118 0.559497 0.386780 1.704580 2.650550
1.57 0.539130 4.737140 0.347705 1.696990 2.649550
1.58 0.545769 0.675100 0.345148 1.715770 2.641980
1.59 0.547024 0.547667 0.347240 1.699830 2.685640
1.6 0.538217 0.706808 0.344915 1.693300 2.694850
1.61 0.550673 0.545260 0.352421 1.695380 2.723900
1.62 0.547747 0.583163 0.352726 1.694400 2.681330
1.63 0.553244 0.933519 0.358238 1.716660 2.632540
1.64 0.543927 0.541064 0.343586 1.695200 2.914890
1.65 0.543743 0.602471 0.348118 1.723360 2.670420
1.66 0.543968 0.541225 0.349171 1.707110 2.670460
1.67 0.544731 0.727037 0.350384 1.693570 2.711400
1.68 0.546414 0.594119 0.350560 1.711310 2.634870
1.69 0.547864 0.562340 0.350929 1.686920 2.676850
1.7 0.542992 1.265470 0.344199 1.776520 2.544520
1.71 0.557621 0.546280 0.338438 1.766410 2.715610
1.72 0.555822 0.629226 0.343655 1.814500 2.662560
1.73 0.551123 0.694300 0.341714 1.869670 2.840020
1.74 0.547931 0.554599 0.343139 1.878810 2.649990
1.75 0.556482 0.597066 0.345781 1.980830 2.662720
1.76 0.554792 0.919023 0.353091 1.887370 2.593980
1.77 0.538263 0.544312 0.336331 1.705080 6.348370
1.78 0.541082 0.615633 0.342767 1.733910 2.879690
1.79 0.550502 0.536337 0.345039 1.779220 2.751520
1.8 0.545923 0.688951 0.346246 1.804430 2.815280
1.81 0.544981 0.628956 0.345299 1.814690 3.017900
1.82 0.544997 0.548029 0.342311 1.916070 2.769980
1.83 0.551826 2.651830 0.341905 1.792750 2.786040
1.84 0.567489 0.590437 0.339726 1.791710 2.870290
1.85 0.563426 0.640966 0.343850 1.773440 2.835580
1.86 0.563047 0.692991 0.345219 1.749910 2.830620
1.87 0.559913 0.536086 0.345884 1.773960 2.949810
1.88 0.571216 0.607105 0.348867 1.833670 2.877060
1.89 1.035550 0.547056 0.355073 1.924170 2.840050
1.9 1.170150 0.924739 0.336838 1.728470 2.993180
1.91 0.750820 0.590241 0.343948 1.758640 2.839190
1.92 0.606552 0.553357 0.347656 1.756910 2.790570
1.93 0.576452 0.690279 0.345492 1.763930 2.775740
1.94 0.565342 0.627924 0.350236 1.773130 2.804520
1.95 0.560263 0.548758 0.350018 1.718000 2.789480
1.96 0.553244 1.273750 0.348198 1.709540 2.823050
1.97 0.560415 0.556084 0.341623 1.689630 2.826550
1.98 0.567984 0.593315 0.347231 1.723270 2.847630
1.99 0.570697 0.725246 0.349709 1.727510 2.922960
2 0.558115 0.543059 0.351147 1.680960 2.788740
2.01 0.565865 0.604390 0.355191 1.750620 2.739400
2.02 0.575214 0.545138 0.360210 1.782970 2.818070
2.03 0.552613 0.914689 0.348697 1.655040 2.766850
2.04 0.557297 0.579705 0.353711 1.719420 2.826880
2.05 0.568103 0.547426 0.361338 1.843310 2.778120
2.06 0.571323 0.693319 9.774680 1.994920 2.746840
2.07 0.560012 0.548038 0.369976 1.876280 2.839930
2.08 0.565374 0.627301 0.368807 1.922600 3.007990
2.09 0.561541 17.684000 0.368453 1.934100 2.772430
2.1 0.562947 0.612476 0.361587 1.942130 2.855240
2.11 0.558312 0.594236 0.357601 1.951120 2.773930
2.12 0.562356 0.734657 0.356023 1.975720 2.685920
2.13 0.563337 0.539267 0.361839 1.980370 2.679810
2.14 0.561371 0.599349 0.358575 2.261370 2.698580
2.15 0.558372 0.559267 0.365657 2.449470 2.772120
2.16 0.557048 0.913813 0.356781 2.220680 2.933110
2.17 0.570149 0.627356 0.356224 2.185030 2.881330
2.18 0.573441 0.548372 0.358099 2.233640 2.984080
2.19 0.565128 0.705626 0.357559 2.206480 2.793040
2.2 0.555476 0.548140 0.358560 1.857850 2.785330
2.21 0.566364 0.585920 0.362845 1.581760 2.832340
2.22 0.562351 1.358290 0.363137 1.524530 2.811290
2.23 0.558657 0.549034 0.355486 1.521790 2.970310
2.24 0.562438 0.604201 0.353293 1.507140 2.896140
2.25 0.568631 0.548456 0.354522 1.517450 3.057900
2.26 0.568738 0.729501 0.355892 1.520090 2.849310
2.27 0.558599 0.599471 0.355390 1.501250 2.867950
2.28 0.563254 0.561005 0.355099 1.524340 2.922400
2.29 0.559480 0.895725 0.346744 1.508720 2.860800
2.3 0.562694 0.534926 0.344751 1.515300 2.957420
2.31 0.561425 0.633036 0.347937 1.547700 2.905480
2.32 0.565880 0.693704 0.346356 1.527370 2.821810
2.33 0.562721 0.560321 0.343193 1.491840 3.044600
2.34 0.565502 0.600875 0.343721 1.490000 2.896940
2.35 0.565189 2.610870 0.349360 1.488980 2.909360
2.36 0.577947 0.592917 0.363240 1.530010 2.837690
2.37 0.573758 0.649638 0.363048 1.503210 2.986010
2.38 0.575155 0.537733 0.363899 1.518160 2.782100
2.39 0.574222 0.694641 0.359766 1.512530 2.838480
2.4 0.573263 0.635522 0.356756 1.505240 2.753820
2.41 0.571652 0.547718 0.361953 1.506660 2.709190
2.42 0.570718 0.909146 0.360886 1.508760 3.038740
2.43 0.569970 0.544323 0.358293 1.534280 2.811950
2.44 0.575044 0.632991 0.360821 1.542310 2.851440
2.45 0.573527 0.694797 0.359566 1.541490 2.797020
2.46 0.574415 0.563037 0.357354 1.531420 2.853970
2.47 0.599945 0.588670 0.357654 1.525890 2.799840
2.48 0.695434 0.548297 0.359515 1.518740 2.857550
2.49 0.601115 1.340530 0.362691 1.539820 2.978770
2.5 0.596340 0.594487 0.367884 1.562170 3.118490
2.51 0.590911 0.554852 0.368439 1.567620 2.863010
2.52 0.588274 0.697815 0.364552 1.564570 2.894720
2.53 0.590840 0.634850 0.362528 1.564740 2.884260
2.54 0.584447 0.549667 0.362995 1.577940 2.796960
2.55 0.582081 0.908544 0.366576 1.570900 2.830260
2.56 0.589473 0.536944 0.362456 1.572680 3.060860
2.57 0.585952 0.596784 0.364361 1.580280 3.085570
2.58 0.592170 0.730576 0.366866 1.607220 3.223400
2.59 0.585248 0.549957 0.361007 1.606330 2.939230
2.6 0.585414 0.605731 0.367097 1.599410 2.836940
2.61 0.587275 0.548760 0.363943 1.615030 2.943030
2.62 0.598855 4.543800 0.371463 1.612440 2.897900
2.63 0.595449 0.637096 0.374446 1.618690 2.840400
2.64 0.599514 0.537828 0.373587 1.651110 2.869830
2.65 0.594274 0.710222 0.371666 1.626670 2.808580
2.66 0.596275 0.547120 0.372289 1.637550 2.891690
2.67 0.593669 0.634603 0.375058 1.636160 3.145370
2.68 0.593056 0.893355 0.372237 1.630970 2.917830
2.69 0.604200 0.561142 0.378789 1.663260 2.895370
2.7 0.601214 0.594997 0.377955 1.678030 2.931210
2.71 0.602164 0.731074 0.381106 1.686750 2.938050
2.72 0.596193 0.549008 0.381890 1.666360 3.000660
2.73 0.599538 0.587759 0.381831 1.676130 2.857020
2.74 0.605035 0.560662 18.279100 1.682830 2.918950
2.75 0.595308 1.286820 6.482880 1.679940 3.020050
2.76 0.590182 0.634259 0.385872 1.672610 2.846410
2.77 0.590682 0.545948 0.382012 1.682020 2.871170
2.78 0.590575 0.710659 0.379280 1.681460 2.816970
2.79 0.591887 0.547855 0.400224 1.686630 2.922770
2.8 0.601713 0.652362 0.390572 1.687060 2.857920
2.81 0.601461 0.961978 0.381445 1.693950 2.875260
2.82 0.589520 0.620941 0.373486 1.688970 3.009620
2.83 0.596259 0.609682 0.373525 1.712410 3.078380
2.84 0.597492 0.550059 0.372295 1.710430 2.855280
2.85 0.588506 0.728634 0.378539 1.711790 2.919390
